SenderID,ReceiverID,SenderDepartment,ReceiverDepartment,SenderLevel,ReceiverLevel,Channel,Timestamp,InteractionWeight
E0159,E0118,IT,Operations,Junior,Junior,Meeting,2024-03-23 13:00:00,4
E0199,E0029,Operations,Operations,Junior,Junior,Meeting,2024-03-22 11:00:00,3
E0061,E0080,Operations,Finance,Junior,Junior,Chat,2024-03-20 08:00:00,4
E0165,E0053,Finance,HR,Junior,Junior,Meeting,2024-03-13 10:00:00,4
E0032,E0038,Finance,HR,Junior,Junior,Meeting,2024-04-18 22:00:00,2
E0013,E0009,Marketing,Operations,Manager,Manager,Meeting,2024-03-31 08:00:00,7
E0093,E0179,Sales,Marketing,Junior,Junior,Meeting,2024-04-08 09:00:00,0
E0185,E0033,Operations,IT,Junior,Junior,Email,2024-03-19 07:00:00,4
E0077,E0032,HR,Finance,Junior,Junior,Chat,2024-03-01 22:00:00,5
E0011,E0101,Operations,Operations,Manager,Junior,Email,2024-03-04 17:00:00,5
E0163,E0175,R&D,Marketing,Junior,Junior,Email,2024-04-10 15:00:00,4
E0070,E0058,Operations,Sales,Junior,Junior,Email,2024-04-06 09:00:00,1
E0090,E0101,IT,Operations,Junior,Junior,Chat,2024-03-22 05:00:00,3
E0092,E0141,R&D,IT,Junior,Junior,Chat,2024-04-25 15:00:00,6
E0167,E0076,Finance,Operations,Junior,Junior,Email,2024-03-26 15:00:00,2
E0149,E0111,Sales,IT,Junior,Junior,Meeting,2024-04-13 01:00:00,3
E0195,E0073,Finance,Sales,Junior,Junior,Meeting,2024-03-20 02:00:00,2
E0157,E0065,Finance,IT,Junior,Junior,Email,2024-04-05 13:00:00,4
E0174,E0044,IT,Sales,Junior,Junior,Meeting,2024-03-15 16:00:00,6
E0010,E0022,HR,Marketing,Manager,Manager,Chat,2024-04-25 18:00:00,1
E0046,E0025,Finance,Marketing,Junior,Junior,Chat,2024-04-06 19:00:00,5
E0108,E0083,Operations,HR,Junior,Junior,Meeting,2024-03-07 06:00:00,2
E0121,E0067,R&D,Marketing,Junior,Junior,Chat,2024-04-12 02:00:00,4
E0067,E0005,Marketing,Sales,Junior,Director,Email,2024-04-05 02:00:00,3
E0001,E0003,Operations,HR,C-Suite,VP,Chat,2024-04-14 19:00:00,6
E0186,E0030,Marketing,Marketing,Junior,Junior,Email,2024-03-15 09:00:00,0
E0158,E0125,Marketing,R&D,Junior,Junior,Meeting,2024-04-25 14:00:00,2
E0053,E0152,HR,IT,Junior,Junior,Email,2024-04-29 08:00:00,2
E0063,E0030,Marketing,Marketing,Junior,Junior,Meeting,2024-04-07 21:00:00,5
E0109,E0011,Finance,Operations,Junior,Manager,Email,2024-03-28 03:00:00,5
E0136,E0079,Finance,Operations,Junior,Junior,Meeting,2024-03-10 08:00:00,1
E0146,E0149,Operations,Sales,Junior,Junior,Email,2024-03-04 05:00:00,6
E0149,E0001,Sales,Operations,Junior,C-Suite,Meeting,2024-04-17 18:00:00,4
E0019,E0191,HR,Sales,Manager,Junior,Email,2024-03-30 22:00:00,2
E0101,E0080,Operations,Finance,Junior,Junior,Chat,2024-03-18 16:00:00,1
E0021,E0019,Finance,HR,Manager,Manager,Email,2024-04-08 01:00:00,3
E0065,E0194,IT,IT,Junior,Junior,Meeting,2024-03-21 19:00:00,2
E0016,E0012,IT,Operations,Manager,Manager,Email,2024-04-13 18:00:00,8
E0152,E0101,IT,Operations,Junior,Junior,Email,2024-04-18 21:00:00,4
E0154,E0133,IT,Marketing,Junior,Junior,Meeting,2024-03-03 05:00:00,2
E0188,E0050,Sales,HR,Junior,Junior,Meeting,2024-03-29 08:00:00,6
E0131,E0061,HR,Operations,Junior,Junior,Meeting,2024-03-28 20:00:00,3
E0156,E0043,Finance,IT,Junior,Junior,Email,2024-03-31 11:00:00,2
E0073,E0198,Sales,Operations,Junior,Junior,Chat,2024-04-12 03:00:00,6
E0157,E0072,Finance,R&D,Junior,Junior,Chat,2024-03-27 22:00:00,2
E0010,E0022,HR,Marketing,Manager,Manager,Meeting,2024-03-03 14:00:00,6
E0012,E0019,Operations,HR,Manager,Manager,Chat,2024-03-08 12:00:00,5
E0003,E0004,HR,Operations,VP,Director,Meeting,2024-04-25 17:00:00,1
E0008,E0010,Finance,HR,Manager,Manager,Email,2024-04-03 11:00:00,0
E0084,E0066,R&D,HR,Junior,Junior,Chat,2024-04-10 14:00:00,1
E0136,E0034,Finance,Marketing,Junior,Junior,Email,2024-03-18 17:00:00,3
E0017,E0018,HR,HR,Manager,Manager,Chat,2024-04-26 22:00:00,4
E0066,E0196,HR,IT,Junior,Junior,Email,2024-04-10 19:00:00,2
E0053,E0200,HR,Sales,Junior,Junior,Meeting,2024-03-11 09:00:00,1
E0057,E0117,Marketing,Finance,Junior,Junior,Meeting,2024-03-27 02:00:00,2
E0117,E0171,Finance,Marketing,Junior,Junior,Email,2024-03-30 03:00:00,2
E0032,E0175,Finance,Marketing,Junior,Junior,Email,2024-04-01 22:00:00,6
E0123,E0095,HR,Sales,Junior,Junior,Meeting,2024-03-18 13:00:00,4
E0054,E0038,Sales,HR,Junior,Junior,Chat,2024-03-16 14:00:00,4
E0065,E0160,IT,HR,Junior,Junior,Chat,2024-03-13 19:00:00,2
E0188,E0039,Sales,R&D,Junior,Junior,Email,2024-04-25 02:00:00,0
E0122,E0107,R&D,Marketing,Junior,Junior,Chat,2024-03-22 16:00:00,3
E0120,E0034,R&D,Marketing,Junior,Junior,Email,2024-03-19 23:00:00,3
E0113,E0034,Sales,Marketing,Junior,Junior,Meeting,2024-04-07 21:00:00,1
E0123,E0043,HR,IT,Junior,Junior,Email,2024-03-29 17:00:00,3
E0170,E0089,IT,Sales,Junior,Junior,Chat,2024-04-05 17:00:00,4
E0192,E0095,HR,Sales,Junior,Junior,Chat,2024-04-25 06:00:00,2
E0095,E0174,Sales,IT,Junior,Junior,Email,2024-04-06 12:00:00,4
E0087,E0133,HR,Marketing,Junior,Junior,Chat,2024-03-03 10:00:00,3
E0101,E0080,Operations,Finance,Junior,Junior,Meeting,2024-04-28 12:00:00,3
E0107,E0035,Marketing,Sales,Junior,Junior,Meeting,2024-04-20 20:00:00,1
E0188,E0145,Sales,Finance,Junior,Junior,Chat,2024-03-03 04:00:00,8
E0023,E0064,Marketing,HR,Junior,Junior,Meeting,2024-03-22 03:00:00,2
E0042,E0030,Operations,Marketing,Junior,Junior,Chat,2024-03-07 16:00:00,4
E0074,E0109,Marketing,Finance,Junior,Junior,Email,2024-04-16 04:00:00,4
E0184,E0172,HR,HR,Junior,Junior,Meeting,2024-03-10 02:00:00,6
E0045,E0095,Sales,Sales,Junior,Junior,Chat,2024-03-22 19:00:00,1
E0188,E0140,Sales,Operations,Junior,Junior,Meeting,2024-03-06 10:00:00,4
E0149,E0034,Sales,Marketing,Junior,Junior,Meeting,2024-03-25 10:00:00,2
E0173,E0090,IT,IT,Junior,Junior,Chat,2024-04-25 17:00:00,4
E0065,E0017,IT,HR,Junior,Manager,Email,2024-03-16 20:00:00,3
E0104,E0176,Marketing,IT,Junior,Junior,Chat,2024-03-15 23:00:00,2
E0129,E0005,IT,Sales,Junior,Director,Email,2024-04-18 20:00:00,2
E0141,E0056,IT,Sales,Junior,Junior,Email,2024-03-29 05:00:00,1
E0042,E0090,Operations,IT,Junior,Junior,Email,2024-03-03 10:00:00,1
E0200,E0189,Sales,R&D,Junior,Junior,Chat,2024-03-23 11:00:00,3
E0054,E0186,Sales,Marketing,Junior,Junior,Email,2024-04-03 13:00:00,2
E0094,E0039,Finance,R&D,Junior,Junior,Email,2024-03-11 05:00:00,2
E0126,E0187,HR,R&D,Junior,Junior,Chat,2024-04-09 21:00:00,3
E0010,E0017,HR,HR,Manager,Manager,Email,2024-03-30 20:00:00,5
E0028,E0037,Operations,R&D,Junior,Junior,Chat,2024-04-12 00:00:00,2
E0005,E0018,Sales,HR,Director,Manager,Chat,2024-04-13 17:00:00,3
E0076,E0097,Operations,Finance,Junior,Junior,Chat,2024-03-23 18:00:00,3
E0099,E0131,Sales,HR,Junior,Junior,Chat,2024-04-14 08:00:00,3
E0105,E0037,Operations,R&D,Junior,Junior,Chat,2024-03-13 12:00:00,2
E0167,E0136,Finance,Finance,Junior,Junior,Email,2024-03-16 12:00:00,4
E0054,E0190,Sales,Operations,Junior,Junior,Meeting,2024-03-19 22:00:00,2
E0059,E0167,R&D,Finance,Junior,Junior,Meeting,2024-03-26 08:00:00,2
E0080,E0036,Finance,R&D,Junior,Junior,Meeting,2024-04-19 23:00:00,2
E0172,E0041,HR,Finance,Junior,Junior,Meeting,2024-04-17 15:00:00,2
E0181,E0006,HR,Finance,Junior,Director,Chat,2024-04-19 07:00:00,4
E0177,E0124,Marketing,Finance,Junior,Junior,Chat,2024-03-15 20:00:00,3
E0149,E0067,Sales,Marketing,Junior,Junior,Chat,2024-04-13 23:00:00,4
E0104,E0073,Marketing,Sales,Junior,Junior,Meeting,2024-04-23 04:00:00,5
E0077,E0174,HR,IT,Junior,Junior,Meeting,2024-04-11 01:00:00,0
E0047,E0033,Finance,IT,Junior,Junior,Chat,2024-03-03 18:00:00,5
E0086,E0153,R&D,Marketing,Junior,Junior,Email,2024-03-06 09:00:00,4
E0034,E0106,Marketing,Finance,Junior,Junior,Chat,2024-03-12 06:00:00,5
E0172,E0025,HR,Marketing,Junior,Junior,Meeting,2024-04-26 11:00:00,2
E0033,E0154,IT,IT,Junior,Junior,Chat,2024-04-23 05:00:00,5
E0145,E0124,Finance,Finance,Junior,Junior,Chat,2024-04-21 09:00:00,2
E0186,E0068,Marketing,Sales,Junior,Junior,Chat,2024-04-21 03:00:00,4
E0038,E0021,HR,Finance,Junior,Manager,Email,2024-03-10 07:00:00,1
E0099,E0042,Sales,Operations,Junior,Junior,Meeting,2024-04-13 12:00:00,0
E0160,E0097,HR,Finance,Junior,Junior,Meeting,2024-03-24 02:00:00,3
E0059,E0189,R&D,R&D,Junior,Junior,Email,2024-03-17 17:00:00,2
E0013,E0015,Marketing,Marketing,Manager,Manager,Meeting,2024-04-17 21:00:00,4
E0103,E0167,HR,Finance,Junior,Junior,Chat,2024-04-22 20:00:00,4
E0180,E0014,R&D,HR,Junior,Manager,Email,2024-04-13 07:00:00,4
E0004,E0007,Operations,Finance,Director,Director,Meeting,2024-03-15 20:00:00,3
E0182,E0163,Operations,R&D,Junior,Junior,Chat,2024-04-28 22:00:00,0
E0035,E0198,Sales,Operations,Junior,Junior,Chat,2024-03-08 04:00:00,1
E0027,E0100,Operations,Operations,Junior,Junior,Email,2024-03-20 15:00:00,4
E0020,E0014,Finance,HR,Manager,Manager,Meeting,2024-03-09 12:00:00,1
E0083,E0021,HR,Finance,Junior,Manager,Meeting,2024-04-17 22:00:00,1
E0076,E0016,Operations,IT,Junior,Manager,Chat,2024-04-07 23:00:00,0
E0110,E0184,Finance,HR,Junior,Junior,Chat,2024-04-11 03:00:00,3
E0144,E0075,Finance,Finance,Junior,Junior,Meeting,2024-03-27 08:00:00,5
E0056,E0011,Sales,Operations,Junior,Manager,Chat,2024-03-14 14:00:00,3
E0051,E0166,HR,Operations,Junior,Junior,Email,2024-04-24 11:00:00,2
E0032,E0070,Finance,Operations,Junior,Junior,Meeting,2024-03-24 17:00:00,2
E0040,E0179,R&D,Marketing,Junior,Junior,Meeting,2024-03-23 01:00:00,3
E0011,E0087,Operations,HR,Manager,Junior,Email,2024-04-24 14:00:00,4
E0005,E0010,Sales,HR,Director,Manager,Meeting,2024-04-10 19:00:00,2
E0143,E0056,Sales,Sales,Junior,Junior,Email,2024-04-20 10:00:00,3
E0145,E0099,Finance,Sales,Junior,Junior,Email,2024-04-20 18:00:00,3
E0179,E0015,Marketing,Marketing,Junior,Manager,Meeting,2024-03-14 18:00:00,3
E0013,E0009,Marketing,Operations,Manager,Manager,Chat,2024-04-19 04:00:00,3
E0003,E0007,HR,Finance,VP,Director,Email,2024-03-18 04:00:00,3
E0087,E0070,HR,Operations,Junior,Junior,Meeting,2024-03-17 05:00:00,5
E0183,E0088,Operations,IT,Junior,Junior,Email,2024-03-09 00:00:00,6
E0063,E0075,Marketing,Finance,Junior,Junior,Email,2024-04-07 10:00:00,4
E0087,E0162,HR,HR,Junior,Junior,Chat,2024-03-04 04:00:00,5
E0181,E0107,HR,Marketing,Junior,Junior,Meeting,2024-03-08 23:00:00,5
E0050,E0189,HR,R&D,Junior,Junior,Chat,2024-04-19 11:00:00,4
E0098,E0182,Operations,Operations,Junior,Junior,Email,2024-03-29 16:00:00,3
E0102,E0068,Operations,Sales,Junior,Junior,Meeting,2024-03-03 23:00:00,2
E0121,E0134,R&D,Operations,Junior,Junior,Meeting,2024-04-03 09:00:00,3
E0086,E0009,R&D,Operations,Junior,Manager,Email,2024-03-04 15:00:00,3
E0058,E0051,Sales,HR,Junior,Junior,Chat,2024-04-13 03:00:00,5
E0092,E0172,R&D,HR,Junior,Junior,Chat,2024-03-05 02:00:00,5
E0089,E0001,Sales,Operations,Junior,C-Suite,Email,2024-03-05 04:00:00,3
E0138,E0043,IT,IT,Junior,Junior,Meeting,2024-04-07 17:00:00,5
E0122,E0175,R&D,Marketing,Junior,Junior,Chat,2024-04-08 16:00:00,3
E0143,E0096,Sales,Sales,Junior,Junior,Meeting,2024-04-08 13:00:00,5
E0091,E0052,Operations,IT,Junior,Junior,Meeting,2024-03-08 20:00:00,3
E0046,E0184,Finance,HR,Junior,Junior,Meeting,2024-04-16 06:00:00,5
E0115,E0197,Operations,HR,Junior,Junior,Email,2024-03-27 10:00:00,2
